Service is recall at 18/06/2022 18:52:51
 trade date 18/06/2022 18:52:51 period 1 volume:900.359446136448
 trade date 18/06/2022 18:52:51 period 2 volume:510.505312360127
 trade date 18/06/2022 18:52:51 period 3 volume:608.962106802018
 trade date 18/06/2022 18:52:51 period 4 volume:323.656104190115
 trade date 18/06/2022 18:52:51 period 5 volume:778.18348015574
 trade date 18/06/2022 18:52:51 period 6 volume:477.553766908848
 trade date 18/06/2022 18:52:51 period 7 volume:173.853586508824
 trade date 18/06/2022 18:52:51 period 8 volume:340.241370881089
 trade date 18/06/2022 18:52:51 period 9 volume:620.573461344733
 trade date 18/06/2022 18:52:51 period 10 volume:792.194428756924
 trade date 18/06/2022 18:52:51 period 11 volume:849.814393487673
 trade date 18/06/2022 18:52:51 period 12 volume:569.07994000664
 trade date 18/06/2022 18:52:51 period 13 volume:997.238696085866
 trade date 18/06/2022 18:52:51 period 14 volume:175.168489187569
 trade date 18/06/2022 18:52:51 period 15 volume:431.845399286526
 trade date 18/06/2022 18:52:51 period 16 volume:734.085083349647
 trade date 18/06/2022 18:52:51 period 17 volume:103.984771344804
 trade date 18/06/2022 18:52:51 period 18 volume:417.750348531525
 trade date 18/06/2022 18:52:51 period 19 volume:501.603581244873
 trade date 18/06/2022 18:52:51 period 20 volume:784.513057109207
 trade date 18/06/2022 18:52:51 period 21 volume:655.369834813927
 trade date 18/06/2022 18:52:51 period 22 volume:719.420764930277
 trade date 18/06/2022 18:52:51 period 23 volume:274.781568103834
 trade date 18/06/2022 18:52:51 period 24 volume:178.943050177276
 trade date 18/06/2022 18:52:51 period 1 volume:729.722670619247
 trade date 18/06/2022 18:52:51 period 2 volume:746.652161584539
 trade date 18/06/2022 18:52:51 period 3 volume:774.586346361128
 trade date 18/06/2022 18:52:51 period 4 volume:627.651596268477
 trade date 18/06/2022 18:52:51 period 5 volume:856.014685172594
 trade date 18/06/2022 18:52:51 period 6 volume:351.226544636873
 trade date 18/06/2022 18:52:51 period 7 volume:311.009671218232
 trade date 18/06/2022 18:52:51 period 8 volume:30.1036602026334
 trade date 18/06/2022 18:52:51 period 9 volume:282.608666123174
 trade date 18/06/2022 18:52:51 period 10 volume:782.438861104864
 trade date 18/06/2022 18:52:51 period 11 volume:473.851414152352
 trade date 18/06/2022 18:52:51 period 12 volume:513.923098572494
 trade date 18/06/2022 18:52:51 period 13 volume:835.557867230642
 trade date 18/06/2022 18:52:51 period 14 volume:990.265948227731
 trade date 18/06/2022 18:52:51 period 15 volume:975.884260598516
 trade date 18/06/2022 18:52:51 period 16 volume:622.641475695484
 trade date 18/06/2022 18:52:51 period 17 volume:746.902759534727
 trade date 18/06/2022 18:52:51 period 18 volume:481.412760671886
 trade date 18/06/2022 18:52:51 period 19 volume:111.839817423299
 trade date 18/06/2022 18:52:51 period 20 volume:402.940537502496
 trade date 18/06/2022 18:52:51 period 21 volume:420.398375215194
 trade date 18/06/2022 18:52:51 period 22 volume:264.632764395621
 trade date 18/06/2022 18:52:51 period 23 volume:563.527398073826
 trade date 18/06/2022 18:52:51 period 24 volume:453.915349884851
 trade date 18/06/2022 18:52:51 period 1 volume:618.369229425848
 trade date 18/06/2022 18:52:51 period 2 volume:445.106858129197
 trade date 18/06/2022 18:52:51 period 3 volume:715.284678021113
 trade date 18/06/2022 18:52:51 period 4 volume:526.913320425392
 trade date 18/06/2022 18:52:51 period 5 volume:534.848197612375
 trade date 18/06/2022 18:52:51 period 6 volume:943.079729072321
 trade date 18/06/2022 18:52:51 period 7 volume:35.7859400267647
 trade date 18/06/2022 18:52:51 period 8 volume:966.869561451892
 trade date 18/06/2022 18:52:51 period 9 volume:553.370496050161
 trade date 18/06/2022 18:52:51 period 10 volume:519.928511008587
 trade date 18/06/2022 18:52:51 period 11 volume:673.108447656552
 trade date 18/06/2022 18:52:51 period 12 volume:986.239532933682
 trade date 18/06/2022 18:52:51 period 13 volume:957.146963084651
 trade date 18/06/2022 18:52:51 period 14 volume:222.943507704392
 trade date 18/06/2022 18:52:51 period 15 volume:525.469638651921
 trade date 18/06/2022 18:52:51 period 16 volume:118.711278829124
 trade date 18/06/2022 18:52:51 period 17 volume:979.538751290896
 trade date 18/06/2022 18:52:51 period 18 volume:576.571571909157
 trade date 18/06/2022 18:52:51 period 19 volume:491.773254001408
 trade date 18/06/2022 18:52:51 period 20 volume:519.460062738257
 trade date 18/06/2022 18:52:51 period 21 volume:458.129212473579
 trade date 18/06/2022 18:52:51 period 22 volume:236.114708816686
 trade date 18/06/2022 18:52:51 period 23 volume:320.278361588846
 trade date 18/06/2022 18:52:51 period 24 volume:930.967834745984
 trade date 18/06/2022 18:52:51 period 1 volume:453.966412904657
 trade date 18/06/2022 18:52:51 period 2 volume:708.898457097308
 trade date 18/06/2022 18:52:51 period 3 volume:580.312147541117
 trade date 18/06/2022 18:52:51 period 4 volume:666.878683803081
 trade date 18/06/2022 18:52:51 period 5 volume:605.17786005753
 trade date 18/06/2022 18:52:51 period 6 volume:982.591681639939
 trade date 18/06/2022 18:52:51 period 7 volume:247.062659471791
 trade date 18/06/2022 18:52:51 period 8 volume:333.994735187848
 trade date 18/06/2022 18:52:51 period 9 volume:933.000607850496
 trade date 18/06/2022 18:52:51 period 10 volume:876.730024757204
 trade date 18/06/2022 18:52:51 period 11 volume:984.157145015968
 trade date 18/06/2022 18:52:51 period 12 volume:765.609441215922
 trade date 18/06/2022 18:52:51 period 13 volume:912.255770020306
 trade date 18/06/2022 18:52:51 period 14 volume:45.0576851354249
 trade date 18/06/2022 18:52:51 period 15 volume:931.127421060171
 trade date 18/06/2022 18:52:51 period 16 volume:373.576642653708
 trade date 18/06/2022 18:52:51 period 17 volume:156.547305712731
 trade date 18/06/2022 18:52:51 period 18 volume:511.108311131181
 trade date 18/06/2022 18:52:51 period 19 volume:788.571867062045
 trade date 18/06/2022 18:52:51 period 20 volume:227.357217216565
 trade date 18/06/2022 18:52:51 period 21 volume:130.757077192309
 trade date 18/06/2022 18:52:51 period 22 volume:100.824278360617
 trade date 18/06/2022 18:52:51 period 23 volume:873.66779189262
 trade date 18/06/2022 18:52:51 period 24 volume:521.761285849736
 trade date 18/06/2022 18:52:51 period 1 volume:272.131686225595
 trade date 18/06/2022 18:52:51 period 2 volume:579.452064623801
 trade date 18/06/2022 18:52:51 period 3 volume:63.6155475227235
 trade date 18/06/2022 18:52:51 period 4 volume:615.146462160697
 trade date 18/06/2022 18:52:51 period 5 volume:134.197212352509
 trade date 18/06/2022 18:52:51 period 6 volume:242.598676235694
 trade date 18/06/2022 18:52:51 period 7 volume:933.396524718682
 trade date 18/06/2022 18:52:51 period 8 volume:225.342959736168
 trade date 18/06/2022 18:52:51 period 9 volume:712.082134425678
 trade date 18/06/2022 18:52:51 period 10 volume:490.551873338666
 trade date 18/06/2022 18:52:51 period 11 volume:812.835356133448
 trade date 18/06/2022 18:52:51 period 12 volume:867.109345675963
 trade date 18/06/2022 18:52:51 period 13 volume:977.008074976973
 trade date 18/06/2022 18:52:51 period 14 volume:442.353768014514
 trade date 18/06/2022 18:52:51 period 15 volume:639.416123106804
 trade date 18/06/2022 18:52:51 period 16 volume:122.04267602509
 trade date 18/06/2022 18:52:51 period 17 volume:656.251854568837
 trade date 18/06/2022 18:52:51 period 18 volume:382.550750571559
 trade date 18/06/2022 18:52:51 period 19 volume:598.296076337945
 trade date 18/06/2022 18:52:51 period 20 volume:704.954582129118
 trade date 18/06/2022 18:52:51 period 21 volume:288.058134395656
 trade date 18/06/2022 18:52:51 period 22 volume:27.7692624497084
 trade date 18/06/2022 18:52:51 period 23 volume:864.962892543973
 trade date 18/06/2022 18:52:51 period 24 volume:364.403691778147
 trade date 18/06/2022 18:52:51 period 1 volume:211.900250619231
 trade date 18/06/2022 18:52:51 period 2 volume:591.083660997024
 trade date 18/06/2022 18:52:51 period 3 volume:10.1532954769923
 trade date 18/06/2022 18:52:51 period 4 volume:876.506433764708
 trade date 18/06/2022 18:52:51 period 5 volume:982.61633328284
 trade date 18/06/2022 18:52:51 period 6 volume:127.517391055598
 trade date 18/06/2022 18:52:51 period 7 volume:191.429955508295
 trade date 18/06/2022 18:52:51 period 8 volume:470.707834451789
 trade date 18/06/2022 18:52:51 period 9 volume:191.471329513691
 trade date 18/06/2022 18:52:51 period 10 volume:496.88666430157
 trade date 18/06/2022 18:52:51 period 11 volume:110.065785753571
 trade date 18/06/2022 18:52:51 period 12 volume:394.002485272476
 trade date 18/06/2022 18:52:51 period 13 volume:123.287439403724
 trade date 18/06/2022 18:52:51 period 14 volume:619.805406602009
 trade date 18/06/2022 18:52:51 period 15 volume:377.27435043886
 trade date 18/06/2022 18:52:51 period 16 volume:941.540807458358
